Sentence: 0	[subject, predicate, object, confidence level] 
 
 
Sentence: 1	[Abraham Lincoln,was President of,United States,1.0]  

Sentence: 1	[Abraham Lincoln,serving until,his assassination in April 1865,1.0]  

Sentence: 1	[Abraham Lincoln,serving from,March 1861,1.0]  

Sentence: 1	[his assassination,is in,April 1865,1.0]  

Sentence: 1	[Abraham Lincoln,was,President,1.0]  

Sentence: 1	[Abraham Lincoln,was 16th President of,United States,1.0]  

Sentence: 1	[Abraham Lincoln,was,16th President,1.0]  

Sentence: 1	[Abraham Lincoln,serving until,his assassination,1.0]  

 
Sentence: 2	[Lincoln,led,United States,1.0]  

Sentence: 2	[Lincoln,led United States through,its War-its,1.0]  

Sentence: 2	[Lincoln,led United States through,its Civil War-its,1.0]  

 
Sentence: 3	[he,preserved Union,doing,1.0]  

Sentence: 3	[he,preserved Union,doing so,1.0]  

Sentence: 3	[he,strengthened,federal government,1.0]  

Sentence: 3	[he,strengthened,government,1.0]  

Sentence: 3	[he,preserved,Union,1.0]  

Sentence: 3	[he,modernized,economy,1.0]  

Sentence: 3	[he,abolished,slavery,1.0]  

 
Sentence: 4	[Lincoln,grew up in,Hodgenville,1.0]  

Sentence: 4	[Lincoln,grew up on,frontier,1.0]  

Sentence: 4	[Lincoln,grew up on,western frontier,1.0]  

Sentence: 4	[Lincoln,grew up in,Kentucky,1.0]  

Sentence: 4	[Lincoln,grew up in,Kentucky,1.0]  

 
Sentence: 5	[he,became,Whig Party leader,1.0]  

Sentence: 5	[he,became,lawyer in Illinois,1.0]  

Sentence: 5	[he,lawyer in,Illinois,1.0]  

Sentence: 5	[he,became,lawyer,1.0]  

Sentence: 5	[lawyer,is in,Illinois,1.0]  

Sentence: 5	[he,served from,1834 to 1846,1.0]  

 
Sentence: 6	[Lincoln,promoted,rapid modernization,1.0]  

Sentence: 6	[Lincoln,Elected to,United States House of Representatives,1.0]  

Sentence: 6	[Lincoln,promoted modernization through,banks,1.0]  

Sentence: 6	[Lincoln,Elected in,1846,1.0]  

Sentence: 6	[Lincoln,promoted,rapid modernization of economy,1.0]  

Sentence: 6	[Lincoln,promoted,modernization of economy,1.0]  

Sentence: 6	[Lincoln,Elected to,United States House,1.0]  

Sentence: 6	[Lincoln,promoted,modernization,1.0]  

 
Sentence: 7	[Lincoln,returned,he had agreed,1.0]  

Sentence: 7	[second term,is in,Congress,1.0]  

Sentence: 7	[his opposition,was unpopular among,Illinois voters,1.0]  

Sentence: 7	[Lincoln,returned to,Springfield,1.0]  

Sentence: 7	[his opposition,was,unpopular,1.0]  

Sentence: 7	[Lincoln,resumed,his successful law practice,1.0]  

Sentence: 7	[Lincoln,resumed,his law practice,1.0]  

Sentence: 7	[Lincoln,returned,he had originally agreed,1.0]  

 
Sentence: 8	[he,building,new Republican Party,1.0]  

Sentence: 8	[he,became,leader,1.0]  

Sentence: 8	[he,building,Republican Party,1.0]  

Sentence: 8	[he,Reentering,politics,1.0]  

Sentence: 8	[he,Reentering politics in,1854,1.0]  

 
Sentence: 9	[his,opponent,Democrat Stephen A.,1.0]  

